Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
3/24/17,walking,walking,2017-03-24T11:50:34+01:00,2017-03-24T11:51:55+01:00,81,0.038,122,0
3/24/17,walking,walking,2017-03-24T11:55:37+01:00,2017-03-24T11:59:20+01:00,223,0.220,295,0
3/24/17,walking,walking,2017-03-24T11:59:20+01:00,2017-03-24T11:59:57+01:00,37,0.017,57,0
3/24/17,walking,walking,2017-03-24T12:00:00+01:00,2017-03-24T12:01:08+01:00,68,0.031,101,0
3/24/17,transport,transport,2017-03-24T12:04:30+01:00,2017-03-24T12:14:09+01:00,579,2.886,0,0
3/24/17,walking,walking,2017-03-24T12:14:10+01:00,2017-03-24T12:23:44+01:00,574,0.239,734,0
3/24/17,walking,walking,2017-03-24T12:23:44+01:00,2017-03-24T12:24:15+01:00,31,0.014,46,0
3/24/17,walking,walking,2017-03-24T13:08:14+01:00,2017-03-24T13:08:28+01:00,14,0.006,20,0
3/24/17,walking,walking,2017-03-24T14:27:25+01:00,2017-03-24T14:30:06+01:00,161,0.101,216,0
3/24/17,walking,walking,2017-03-24T15:06:08+01:00,2017-03-24T15:09:15+01:00,187,0.129,278,0
3/24/17,walking,walking,2017-03-24T16:35:36+01:00,2017-03-24T16:37:00+01:00,84,0.032,103,0
3/24/17,walking,walking,2017-03-24T17:35:01+01:00,2017-03-24T17:35:58+01:00,57,0.017,46,0
3/24/17,walking,walking,2017-03-24T19:26:45+01:00,2017-03-24T19:37:44+01:00,659,0.381,818,0
3/24/17,transport,transport,2017-03-24T19:52:00+01:00,2017-03-24T20:08:40+01:00,1000,2.075,0,0
3/24/17,walking,walking,2017-03-24T21:13:07+01:00,2017-03-24T21:21:54+01:00,527,0.314,735,0
3/24/17,walking,walking,2017-03-24T21:21:55+01:00,2017-03-24T21:22:24+01:00,29,0.014,44,0
3/24/17,walking,walking,2017-03-24T22:32:59+01:00,2017-03-24T22:42:50+01:00,591,0.318,958,0
3/24/17,walking,walking,2017-03-24T22:42:51+01:00,2017-03-24T22:43:28+01:00,37,0.017,56,0
